PMA: WDA & Balancing adjustments: Other provisions about disposal values
Identifier: CA23280
Source: https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca23280
Published: 2016-04-16T08:48:08+01:00
Updated: 2022-06-07T10:00:34+01:00
Retrieved (UTC): 2026-09-18T16:20:45.862678+00:00

CAA01/S66

There are provisions about disposal values in the legislation below:

Legislation |  Subject |  Guidance |

CAA01/S68 |  Hire purchase |  CA23330 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca23330) |

CAA01/S70E |  Long funding leases |  CA23805 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca23805) |

CAA01/S72 and S73 |  Software |  CA23420 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca23420) |

CAA01/S88 and S89 |  Short life assets |  CA23660 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca23660) |

CAA01/S104E |  Special rate expenditure - avoidance cases |  - |

CAA01/S108, S111 and S114 |  Overseas leasing |  CA24200 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca24200) |

CAA01/S132 and S143 |  Ships |  CA25250 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca25250) |

CAA01/S171 |  Oil production sharing contracts |  CA29250 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca29250) |

CAA01/S196 and S197 |  Fixtures |  CA26700 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca26700); CA26750 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca26750) |

CAA01/S208 |  Significant reduction in use for qualifying activity |  CA27300 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca27300) |

CAA01/S208A |  Cars - expenditure incurred on or after 1 or 6 April 2009 |  CA23555 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca23555) |

CAA01/S211 |  Partial depreciation subsidy |  CA27500 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca27500) |

CAA01/S222 |  Sale and finance leaseback |  CA28550 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca28550) |

CAA01/S229 |  Hire purchase and finance leasing |  CA28700 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca28700) |

CAA01/S238 and S239 |  Additional VAT rebates |  CA29230 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca29230) |

CAA01/S228K to S228M |  Disposal of plant subject to lease |  CA23290 (https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca23290) |
