IBA: enterprise zones: contact points for enterprise zones
Identifier: CA37650
Source: https://www.gov.uk/hmrc-internal-manuals/capital-allowances-manual/ca37650
Published: 2016-04-16T08:59:20+01:00
Updated: 2022-06-08T10:04:29+01:00
Retrieved (UTC): 2026-09-18T16:21:23.075001+00:00

The local contact points for enterprise zones are

Enterprise zone |  Contact point |

Allerdale |  Allerdale DC, Allerdale House, Workington, Cumbria CA14 3YJ |

Belfast |  Belfast City Council, City Hall, Belfast, BT1 5GS |

Clydebank No. 1 |  Clydebank D C Offices, Clydebank, G81 1TG |

Clydebank No. 2 |  Clydebank D C Offices, Clydebank, G81 1TG |

Dearne Valley |  Andrew Nettleton, Rotherham Investment and Development Office and Reresby House, Bow Bridge Close, Templeborough, Rotherham, S60 1YR |

Delyn |  Delyn Borough Council, Delyn House, Chapel Street, Flint |

Dudley No 1 and Round Oak |  Economic Development Unit, 7 St James’s Road, Dudley, DY1 1HP |

East Durham |  Ken Greenfield, Chief Executive, East Durham Development Agency and Lee House, Peterlee, County Durham, SR8 1BD |

East Midlands |  - |

Ashfield |  Peter Daveson, Economic Development, Ashfield DC and Urban Road, Kirkby in Ashfield, NG17 8DA |

Bassetlaw |  Bob Dean, Economic Development and Planning, Bassetlaw D.C. and Queens Buildings, Potter Street, Workshop, S20 2AH |

Mansfield |  Simon Carter, Urban Registration, Mansfield D.C., Civic Centre, Chesterfield Road South, Mansfield, NG19 7BH |

NE Derbyshire |  Mel Pretious, Economic Development, North East Derbyshire D.C. and Council House, Saltergate, Chesterfield, S40 1LF |

Glanford |  Glanford Borough Council Offices, Station Road, Brigg, South Humberside, DN20 8EG |

Hartlepool |  Hartlepool B. C., Civic Centre, Hartlepool, TS24 8AY |

Inverclyde |  Inverclyde District Council, Municipal Buildings, Civic Square, Greenock, PA15 1LX |

Invergordon |  Highland Regional Council, Regional Buildings, Glenurquart Road, Inverness, IV3 5NX |

Isle of Dogs |  London Borough of Tower Hamlets, Patriot Square, London and E2 9LN and London Borough of Newham, Barking Road, East Ham, London |

Lanarkshire |  Lanarkshire Development Agency, New Lanarkshire House, Willow Drive, Strathclyde Business Park, Bellshill, Lanarkshire |

Londonderry |  Derry City Council, Guildhall, Londonderry, BT48 6BJ |

Middlesbrough |  Middlesbrough B. C., Civic Centre, Middlesbrough, TS1 2QQ |

Milford Haven No. 1 |  Preseli Pembrokeshire D. C., Cambria House, PO Box 27, Haverfordwest, SA61 1TP |

Milford Haven No. 2 |  South Pembrokeshire D. C., Llanion Park, Pembroke Dock, SA72 6DZ |

North East Lancashire Site 1 |  Burnley B. C., Town Hall, Burnley, BB11 1JA |

North East Lancashire Sites 2 & 7 |  Pendle B. C., Town Hall, Nelson, BB9 7LG |

North East Lancashire Site 3 |  Rossendale B. C., Town Hall, Rawtenstall, BB4 7LZ |

North East Lancashire Sites 4, 5 and 6 |  Hyndburn B. C., Municipal Offices, St. James Street, Accrington, BB5 1PQ |

N W Kent Nos. 1 and 2 |  Gravesham B. C., Civic Centre; Windmill Street, Gravesend, DA12 1AU |

N W Kent Nos. 3, 4 & 6 |  Rochester upon Medway C.C., Civic Centre, Rochester, ME2 4AW |

N W Kent Nos. 5 & 7 |  Gillingham B. C., Municipal Buildings, Gillingham, ME7 5LA |

Rotherham |  Rotherham M. B. C., Civic Building, Walker Place, Rotherham |

Salford / Trafford |  Salford City Council, Civil Centre, Chorley Road, Swinton, M27 2AD, Trafford Park Development Corporation and Trafford Wharf Road and Wharfside, Trafford Park Manchester, M17 1EX. And Trafford M. B. C., Trafford Town Hall, Talbot Road, Stretford, Manchester |

Scunthorpe |  Scunthorpe B. C., Civic Centre, Ashby Road, Scunthorpe, DN16 1AB |

Speke |  Liverpool City Council, Dale Street, Liverpool, L69 2DH |

Sunderland No. 1 |  Tyne & Wear Development Corporation, Scotswood House and Newcastle Business Park, Newcastle upon Tyne, NE4 7YL |

Sunderland Nos. 2 and 3 |  City of Sunderland, PO Box 100, Civic Centre, Sunderland, SR2 7DN |

Swansea Nos. 1 and 2 |  Planning Department, City of Swansea, Swansea, SA1 4HP |

Tayside |  Tayside R. C., Tayside House, Crichton Street, Dundee |

Telford |  Telford D. C., Telford Development Corporation, Priorslee Telford, TF2 9NT and Wrekin D. C., Malinslee House, Telford, TF3 4LD |

Tyne Riverside No. 1 |  Madelaine Rourke, Enterprise Zone Manager, North Tyneside Council and 105 Howard Street, North Shields, Tyne and Wear, NE30 1NA |

Tyne Riverside No. 2 and Silverlink North Scheme |  Madelaine Rourke, Enterprise Zone Manager, North Tyneside Council and 105 Howard Street, North Shields, Tyne and Wear, NE30 1NA |

Tyne Riverside No. 3 and Silverlink Business Park Scheme |  Madelaine Rourke, Enterprise Zone Manager, North Tyneside Council and 105 Howard Street, North Shields, Tyne and Wear, NE30 1NA |

Tyne Riverside No. 4 and Middle Engine Lane Scheme |  Madelaine Rourke, Enterprise Zone Manager, North Tyneside Council and 105 Howard Street, North Shields, Tyne and Wear, NE30 1NA |

Tyne Riverside No. 5 and New York Industrial Park Scheme |  Madelaine Rourke, Enterprise Zone Manager, North Tyneside Council and 105 Howard Street, North Shields, Tyne and Wear, NE30 1NA |

Tyne Riverside No. 6 and Balliol Business Park West Scheme |  Madelaine Rourke, Enterprise Zone Manager, North Tyneside Council and 105 Howard Street, North Shields, Tyne and Wear, NE30 1NA |

Tyne Riverside No. 7 and Balliol Business Park East Scheme |  Madelaine Rourke, Enterprise Zone Manager, North Tyneside Council and 105 Howard Street, North Shields, Tyne and Wear, NE30 1NA |

Tyne Riverside No. 8 and Baltic Enterprise Park Scheme |  Madelaine Rourke, Enterprise Zone Manager, North Tyneside Council and 105 Howard Street, North Shields, Tyne and Wear, NE30 1NA |

Tyne Riverside No. 9, Viking Industrial Park and Wagonway West Scheme |  Madelaine Rourke, Enterprise Zone Manager, North Tyneside Council and 105 Howard Street, North Shields, Tyne and Wear, NE30 1NA |

Tyne Riverside No. 10, Viking Industrial Park and Blackett Street Scheme |  Madelaine Rourke, Enterprise Zone Manager, North Tyneside Council and 105 Howard Street, North Shields, Tyne and Wear, NE30 1NA |

Tyne Riverside No. 11, Viking Industrial Park and Western Road Scheme |  Madelaine Rourke, Enterprise Zone Manager, North Tyneside Council and 105 Howard Street, North Shields, Tyne and Wear, NE30 1NA |

Tyneside |  Gateshead M. B. C., Civic Centre, Regent Street, Gateshead, NE8 1HH, Newcastle upon Tyne City Council, Newcastle upon Tyne, NE99 2BN and Tyne & Wear Development Corporation, Scotswood House, Newcastle Business Park, Newcastle upon Tyne, NE4 7YL |

Wakefield - both sites |  Wakefield M. B., Town Hall, Wakefield, WF1 2HQ |

Wellingborough |  Wellingborough B. C., Tithe Barn Road, Wellingborough, NN8 1BN |
