PAYE: employment-related securities: commencement
Identifier: EIM12201
Source: https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim12201
Published: 2014-05-22T10:00:00+01:00
Updated: 2022-03-01T10:19:43+00:00
Retrieved (UTC): 2026-09-18T14:09:53.964626+00:00

Part 7 ITEPA 2003 as amended by Schedule 22 FA 2003

The new rules at Part 7 that make provision for amounts to count as employment income take effect as follows:

Chapter |  Securities |  Date |

Chapter 2 |  Restricted securities (see EIM12220) |  1 September 2003 |

Chapter 3 |  Convertible securities (see EIM12230 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim12230)) |  1 September 2003 |

Chapter 3A |  Securities with artificially depressed market value (see EIM12240 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim12240)) |  16 April 2003 |

Chapter 3B |  Securities with artificially enhanced market value (see EIM12250 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim12250)) |  16 April 2003 |

Chapter 3C |  Securities acquired for less than market value (see EIM12260 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim12260)) |  16 April 2003 |

Chapter 3D |  Securities disposed of for more than market value (see EIM12270 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim12270)) |  16 April 2003 |

Chapter 4 |  Post-acquisition benefits from securities (see EIM12280 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim12280)) |  16 April 2003 |

Chapter 5 |  Securities options, share options (see EIM12310 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim12310)) |  1 September 2003 |

Chapter 5 |  Securities options, other securities options (see EIM12320 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim12320)) |  16 April 2003 |

Chapter 8 |  Company share option plan (CSOP) schemes (see EIM12210 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim12210)) |  9 April 2003 |
