Other expenses: entertainment expenses: arrangement of guidance
Identifier: EIM32570
Source: https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32570
Published: 2014-05-22T10:00:00+01:00
Updated: 2022-02-11T14:44:03+00:00
Retrieved (UTC): 2026-09-18T14:22:26.652399+00:00

Sections 336 and 356 ITEPA 2003

Guidance about the application of section 356 ITEPA 2003

Page |  Guidance |

EIM32565 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32565) |  Entertainment expenses: introduction |

EIM32566 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32566) |  Entertainment expenses: disallowance under section 356 ITEPA 2003: steps to follow |

EIM32575 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32575) |  Entertainment expenses: disallowance under section 356 ITEPA 2003: concerns to which section 356 applies |

EIM32580 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32580) |  Entertainment expenses: disallowance under section 356 ITEPA 2003: meaning of “entertainment”: gifts |

EIM32585 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32585) |  Entertainment expenses: disallowance under section 356 ITEPA 2003: exception where employer’s expenses disallowed |

EIM32586 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32586) |  Entertainment expenses: disallowance under section 356 ITEPA 2003: particular types of payment |

EIM32590 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32590) |  Entertainment expenses: disallowance under section 356 ITEPA 2003: employer not liable to UK tax |

EIM32595 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32595) |  Entertainment expenses: disallowance under section 356 ITEPA 2003: employer not resident in the UK |

EIM32600 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32600) |  Entertainment expenses: disallowance under section 356 ITEPA 2003: employer’s profits exempt from tax under the terms of a double taxation agreement |

EIM32605 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32605) |  Entertainment expenses: disallowance under section 356 ITEPA 2003: employees of Local Authorities and Health Service bodies |

EIM32610 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32610) |  Entertainment expenses: disallowance under section 356 ITEPA 2003: employees of charities |

EIM32612 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32612) |  Entertainment expenses: disallowance under section 356 ITEPA 2003: employees of tonnage tax companies |

Guidance about the application of section 336 ITEPA 2003 to entertainment expenses

Page |  Guidance |

EIM32615 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32615) |  Application of section 336 to entertainment expenses: general: maintenance of records |

EIM32620 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32620) |  Entertaining colleagues within the same organisation |

EIM21729 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim21729) |  Particular benefits: hospitality boxes at sporting events |

EIM32625 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32625) |  Entertaining at the employee’s home |

EIM32630 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32630) |  Benefits of directors and employees |

EIM32635 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32635) |  Cases where neither employer nor employee entitled to deduction |

EIM32640 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32640) |  Extent of examination of deduction |

EIM32645 (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32645) |  Dispensations |

EIM32650a (https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim32650a) |  Flow chart |
