Tax treatment of working rule agreements: rates of allowances paid under particular agreements: the Construction Industry Joint Council
Identifier: EIM71325
Source: https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim71325
Published: 2014-05-22T10:00:00+01:00
Updated: 2026-07-08T01:00:00+01:00
Retrieved (UTC): 2026-09-18T14:17:21.008200+00:00

Lodging or overnight subsistence allowance

Period | Allowance per night |

From 20 July 2026 | £53.69 |

30 June 2025 to 19 July 2026 | £51.97 |

24 June 2024 to 29 June 2025 | £50.65 |

25 June 2023 to 23 June 2024 | £49.08 |

9 January 2023 to 24 June 2023 | £44.58 |

25 July 2022 to 8 January 2023 | £43.74 |

28 June 2021 to 24 July 2022 | £41.66 |

24 June 2019 to 27 June 2021 | £40.76 |

Travel allowance

Rates payble in miles from 20 July 2026

Miles  | Fare (not taxed) |

9 | £6.09 |

10 | £6.58 |

11 | £7.11 |

12 | £7.60 |

13 | £8.10 |

14 | £8.59 |

15 | £9.08 |

16 | £9.57 |

17 | £10.06 |

18 | £10.57 |

19 | £11.05 |

20 | £11.49 |

21 | £11.92 |

22 | £12.32 |

23 | £12.75 |

24 | £13.20 |

25 | £13.61 |

26 | £14.04 |

27 | £14.45 |

28 | £14.91 |

29 | £15.31 |

30 | £15.72 |

31 | £16.11 |

32 | £16.50 |

33 | £16.89 |

34 | £17.28 |

35 | £17.70 |

36 | £18.10 |

37 | £18.48 |

38 | £18.87 |

39 | £19.29 |

40 | £19.69 |

41 | £20.08 |

42 | £20.47 |

43 | £20.88 |

44 | £21.29 |

45 | £21.66 |

46 | £22.05 |

47 | £22.47 |

48 | £22.87 |

49 | £23.25 |

50 | £23.66 |

Rates payable in miles from 30 June 2025 to 19 July 2026

Miles | Fare (not taxed) |

9 | £5.90 |

10 | £6.37 |

11 | £6.88 |

12 | £7.36 |

13 | £7.84 |

14 | £8.32 |

15 | £8.79 |

16 | £9.26 |

17 | £9.74 |

18 | £10.23 |

19 | £10.70 |

20 | £11.12 |

21 | £11.54 |

22 | £11.93 |

23 | £12.34 |

24 | £12.78 |

25 | £13.18 |

26 | £13.59 |

27 | £13.99 |

28 | £14.43 |

29 | £14.82 |

30 | £15.22 |

31 | £15.60 |

32 | £15.97 |

33 | £16.35 |

34 | £16.73 |

35 | £17.13 |

36 | £17.52 |

37 | £17.89 |

38 | £18.27 |

39 | £18.67 |

40 | £19.06 |

41 | £19.44 |

42 | £19.82 |

43 | £20.21 |

44 | £20.61 |

45 | £20.97 |

46 | £21.35 |

47 | £21.75 |

48 | £22.14 |

49 | £22.51 |

50 | £22.90 |

Rates payable in miles from 24 June 2024 to 29 June 2025

Miles | Fare (not taxed) |

9 | £5.75 |

10 | £6.21 |

11 | £6.71 |

12 | £7.17 |

13 | £7.64 |

14 | £8.11 |

15 | £8.57 |

16 | £9.03 |

17 | £9.49 |

18 | £9.97 |

19 | £10.43 |

20 | £10.84 |

21 | £11.25 |

22 | £11.63 |

23 | £12.03 |

24 | £12.46 |

25 | £12.85 |

26 | £13.25 |

27 | £13.64 |

28 | £14.06 |

29 | £14.44 |

30 | £14.83 |

31 | £15.20 |

32 | £15.57 |

33 | £15.94 |

34 | £16.31 |

35 | £16.70 |

36 | £17.08 |

37 | £17.44 |

38 | £17.81 |

39 | £18.20 |

40 | £18.58 |

41 | £18.95 |

42 | £19.32 |

43 | £19.70 |

44 | £20.09 |

45 | £20.44 |

46 | £20.81 |

47 | £21.20 |

48 | £21.58 |

49 | £21.94 |

50 | £22.32 |

Rates payable in miles from 25 June 2023 to 23 June 2024

Miles | Fare (not taxed) |

9 | £5.57 |

10 | £6.02 |

11 | £6.50 |

12 | £6.95 |

13 | £7.40 |

14 | £7.86 |

15 | £8.30 |

16 | £8.75 |

17 | £9.20 |

18 | £9.66 |

19 | £10.11 |

20 | £10.50 |

21 | £10.90 |

22 | £11.27 |

23 | £11.66 |

24 | £12.07 |

25 | £12.45 |

26 | £12.84 |

27 | £13.22 |

28 | £13.62 |

29 | £13.99 |

30 | £14.37 |

31 | £14.73 |

32 | £15.09 |

33 | £15.46 |

34 | £15.80 |

35 | £16.18 |

36 | £16.55 |

37 | £16.90 |

38 | £17.26 |

39 | £17.64 |

40 | £18.00 |

41 | £18.36 |

42 | £18.72 |

43 | £19.09 |

44 | £19.47 |

45 | £19.81 |

46 | £20.17 |

47 | £20.54 |

48 | £20.91 |

49 | £21.26 |

50 | £21.63 |

Rates payable in miles from 9 January 2023 to 24 June 2023

