Class 1A National Insurance contributions: Exemptions from  Class 1A NICs liability: Benefits and payments exempt from Class 1A  NICs by regulation: Table of benefits and payments exempt from Class  1A NICs liability
Identifier: NIM14510
Source: https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim14510
Published: 2016-04-11T17:30:00+01:00
Updated: 2023-02-28T10:24:07+00:00
Retrieved (UTC): 2026-09-18T15:20:12.984745+00:00

Section 10(9)(a) SSCBA 1992 and regulation 40 SS(C)R 2001

NIM14501  (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim14501)explains that some benefits and payments chargeable to income tax are specifically excluded from Class 1A NICs liability by regulation 40 of the SS(C)R 2001. The table below lists those benefits and payments. Before deciding whether a payment is excluded from Class 1A NICs liability you should ensure you consult the NIM guidance about the exclusion.

Benefit or payment |  Legislation – SS(C)R 2001 |  Guidance |

Cars provided to disabled employees – reduction of Class 1A NICs - Before 6 April 2004 |  Reg 37 |  NIM16020 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim16020) |

Cars provided to disabled employees only for business and home to work travel |  Reg 38 |  NIM16022 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim16022) |

Contributions to, and benefits from registered pension schemes – From 6 April 2006 |  Reg 40(2)(a) & para 2(a) Part 6 Schedule 3 |  NIM02710  (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02710)to NIM02717 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02717) |

Employer’s pension contributions that attract migrant member relief and corresponding relief; and benefits which are referable to such contributions – From 6 April 2006 |  Reg 40(2)(a) & para 3 Part 6 Schedule 3 |  NIM02730 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02730) to  NIM02732 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02732) |

Relevant benefits from unapproved retirement benefits schemes and attributable to payments before 6 April 1998 |  Reg 40(2)(a) & para 4 Part 6 Schedule 3 |  NIM02161 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02161) |

Benefits from unapproved retirement benefit schemes attributable to payments after 5 April 1998 which have previously been included in gross pay for Class 1 NICs purposes |  Reg 40(2)(a) & para 5 Part 6 Schedule 3 |  NIM02161 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02161) |

Payments to retirement benefits schemes established in good faith to provide relevant benefits – before 6 April 2006 |  Reg 40(2)(a) & para 6 Part 6 Schedule 3 |  NIM02161 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02161) |

Payments to a pension scheme afforded relief from taxation under double taxation agreements |  Reg 40(2)(a) & para 7 Part 6 Schedule 3 |  NIM02735 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02735) |

Payments from employer-financed retirement benefits schemes and employer financed pension only schemes – From 6 April 2006 |  Reg 40(2)(a) & para 10 Part 6 Schedule 3 |  NIM02755 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02755) \nNIM02765 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02765) \nNIM02773 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02773) |

