Appendix 1: Draft letters
Identifier: NIMAPP1-0
Source: https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-0
Published: 2016-11-30T15:35:35+00:00
Updated: 2022-05-05T15:00:44+01:00
Retrieved (UTC): 2026-09-18T15:11:51.261598+00:00

Draft letter |  Description |

Draft Letter 1 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-1) |  Letter telling employer of the intention to issue a Notification under Regulation 3(2B) of the Social Security (Contributions) Regulations 2001 |

Draft Letter 2 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-2) |  Letter telling employee of the intention to issue a Notification under Regulation 3(2B) of the Social Security (Contributions) Regulations 2001 |

Draft Letter 3 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-3) |  Letter to employer accompanying a decision to issue a Notification under Regulation 3(2B) of the Social Security (Contributions) Regulations 2001 |

Draft Letter 4 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-14) |  Letter to employee accompanying a decision to issue a Notification under Regulation 3(2B) of the Social Security (Contribution) Regulations 2001 |

Draft letter 5 |  Letter to employer accompanying the decision not to issue a notification under regulation 3(2B) of the Social Security (Contributions) Regulations 2001 |

Draft letter 6 |  Letter to employer accompanying the decision not to issue a notification under regulation 3(2B) of the Social Security (Contributions) Regulations 2001 |

Draft Decision 1 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-6) |  Decision wording for a Notification under Regulation 3(2B) of the Social Security (Contributions) Regulations 2001. |

Draft Decision 2 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-7) |  Decision wording that a Notification under Regulation 3(2B) of the Social Security (Contributions) Regulations 2001 is not appropriate |

Draft Decision 3 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-8) |  Decision wording that a notification under Regulation 3(2B) of the Social Security (Contributions) Regulations 2001should cease to have effect |

Draft Decision 4 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-15) |  Decision wording that a notification under Regulation 3(2B) of the Social Security (Contributions) Regulations 2001 should not cease to have effect |

Draft Letter 7 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-18) |  Letter telling employer of the intention to issue a Direction under Regulation 31of the Social Security (Contributions) Regulations 2001 |

Draft Letter 8 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-19) |  Letter telling employee of the intention to issue a Direction under Regulation 31 of the Social Security (Contributions) Regulations 2001 |

Draft Letter 9 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-20) |  Letter to employer accompanying a decision to issue a Direction under Regulation 31 of the Social Security (Contributions) Regulations 2001 |

Draft Letter 10 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-10) |  Letter to employee accompanying a decision to issue a Direction under Regulation 31 of the Social Security (Contributions) Regulations 2001 |

Draft Letter 11 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-11) |  Letter to employer accompanying the decision not to issue a notification under regulation 31 of the Social Security (Contributions) Regulations 2001 |

Draft Letter 12 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-12) |  Letter to employee accompanying the decision not to issue a notification under regulation 31 of the Social Security (Contribution) Regulations 2001 |

Draft Decision 5 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-5) |  Decision wording for a Direction under Regulation 31 of the Social Security (Contributions) Regulations 2001. |

Draft Decision 6 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nimapp1-13) |  Decision wording that a Direction under Regulation 31 of the Social Security (Contributions) Regulations 2001 is not appropriate |
